customerID,Churn,customer.gender,customer.SeniorCitizen,customer.Partner,customer.Dependents,Tempo_Cliente,phone.PhoneService,phone.MultipleLines,internet.InternetService,internet.OnlineSecurity,internet.OnlineBackup,internet.DeviceProtection,internet.TechSupport,internet.StreamingTV,internet.StreamingMovies,account.Contract,account.PaperlessBilling,account.PaymentMethod,Mensalidade,Total_Pago,Contas_Diarias,Churn_binario,Total_Servicos
0002-ORFBO,no,Female,0,Yes,Yes,9,Yes,No,DSL,No,Yes,No,Yes,Yes,No,1 ano,Yes,Mailed check,65.6,593.3,2.1866666666666665,0,4.0
0003-MKNFE,no,Male,0,No,No,9,Yes,Yes,DSL,No,No,No,No,No,Yes,Mensal,No,Mailed check,59.9,542.4,1.9966666666666666,0,3.0
0004-TLHLJ,yes,Male,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,Mensal,Yes,Electronic check,73.9,280.85,2.4633333333333334,1,2.0
0011-IGKFF,yes,Male,1,Yes,No,13,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Mensal,Yes,Electronic check,98.0,1237.85,3.2666666666666666,1,5.0
0013-EXCHZ,yes,Female,1,Yes,No,3,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Mensal,Yes,Mailed check,83.9,267.4,2.796666666666667,1,3.0
0013-MHZWF,no,Female,0,No,Yes,9,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Mensal,Yes,Credit card (automatic),69.4,571.45,2.3133333333333335,0,4.0
0013-SMEOE,no,Female,1,Yes,No,71,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,Bank transfer (automatic),109.7,7904.25,3.6566666666666667,0,7.0
0014-BMAQU,no,Male,0,Yes,No,63,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,2 anos,Yes,Credit card (automatic),84.65,5377.8,2.8216666666666668,0,4.0
0015-UOCOJ,no,Female,1,No,No,7,Yes,No,DSL,Yes,No,No,No,No,No,Mensal,Yes,Electronic check,48.2,340.35,1.6066666666666667,0,2.0
0016-QLJIS,no,Female,0,Yes,Yes,65,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,Mailed check,90.45,5957.9,3.015,0,8.0
0017-DINOC,no,Male,0,No,No,54,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,2 anos,No,Credit card (automatic),45.2,2460.55,1.5066666666666668,0,3.0
0017-IUDMW,no,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,Credit card (automatic),116.8,8456.75,3.893333333333333,0,8.0
0018-NYROU,no,Female,0,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Mensal,Yes,Electronic check,68.95,351.5,2.2983333333333333,0,1.0
0019-EFAEP,no,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,2 anos,Yes,Bank transfer (automatic),101.3,7261.25,3.3766666666666665,0,6.0
0019-GFNTW,no,Female,0,No,No,56,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,2 anos,No,Bank transfer (automatic),45.05,2560.1,1.5016666666666665,0,4.0
0020-INWCK,no,Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,2 anos,Yes,Credit card (automatic),95.75,6849.4,3.191666666666667,0,5.0
0020-JDNXP,no,Female,0,Yes,Yes,34,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,1 ano,No,Mailed check,61.25,1993.2,2.0416666666666665,0,5.0
0021-IKXGC,no,Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Mensal,Yes,Electronic check,72.1,72.1,2.4033333333333333,0,2.0
0022-TCJCI,yes,Male,1,No,No,45,Yes,No,DSL,Yes,No,Yes,No,No,Yes,1 ano,No,Credit card (automatic),62.7,2791.5,2.0900000000000003,1,4.0
0023-HGHWL,yes,Male,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Mensal,Yes,Electronic check,25.1,25.1,0.8366666666666667,1,0.0
0023-UYUPN,no,Female,1,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 ano,No,Electronic check,25.2,1306.3,0.84,0,2.0
0023-XUOPT,yes,Female,0,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Mensal,No,Electronic check,94.1,1215.6,3.1366666666666663,1,5.0
0027-KWYKW,no,Female,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Mensal,Yes,Electronic check,83.75,1849.95,2.7916666666666665,0,3.0
0030-FNXPP,no,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensal,No,Mailed check,19.85,57.2,0.6616666666666667,0,1.0
0031-PVLZI,yes,Female,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensal,No,Mailed check,20.35,76.35,0.6783333333333333,1,1.0
0032-PGELS,yes,Female,0,Yes,Yes,1,No,No phone service,DSL,Yes,No,No,No,No,No,Mensal,No,Bank transfer (automatic),30.5,30.5,1.0166666666666666,1,1.0
0036-IHMOT,no,Female,0,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,1 ano,Yes,Bank transfer (automatic),103.7,5656.75,3.4566666666666666,0,6.0
0040-HALCW,no,Male,0,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 anos,No,Credit card (automatic),20.4,1090.6,0.6799999999999999,0,1.0
0042-JVWOJ,no,Male,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 ano,Yes,Bank transfer (automatic),19.6,471.85,0.6533333333333334,0,1.0
0042-RLHYP,no,Female,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 anos,No,Bank transfer (automatic),19.7,1396.9,0.6566666666666666,0,1.0
0048-LUMLS,no,Male,0,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,1 ano,No,Credit card (automatic),91.2,3247.55,3.04,0,3.0
0048-PIHNL,no,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 ano,No,Bank transfer (automatic),20.45,900.9,0.6816666666666666,0,1.0
